,DEPTH,RHOB,VP,GR,NPHI
15780,3272.625,2.308,3237.2415011177263,82.4329,0.3383
15781,3272.75,2.3102,3236.959285181016,83.2717,0.3264
15782,3272.875,2.3143,3238.306684432624,84.0445,0.3247
15783,3273.0,2.3174,3239.907232365025,85.035,0.3286
15784,3273.125,2.3162,3268.8851042654233,86.0942,0.332
15785,3273.25,2.3086,3246.9156410005776,86.5667,0.328
15786,3273.375,2.2897,3250.5056334528444,86.9182,0.3288
15787,3273.5,2.2814,3238.1919669891404,87.1049,0.3297
15788,3273.625,2.2919,3251.321382664953,87.2514,0.3252
15789,3273.75,2.3162,3254.1539039704307,87.3086,0.3194
15790,3273.875,2.3432,3256.271099525661,87.1995,0.3163
15791,3274.0,2.3654,3244.401446371371,87.0246,0.3049
15792,3274.125,2.3678,3238.671732957132,86.8044,0.3002
15793,3274.25,2.3709,3233.6999912930114,86.581,0.292
15794,3274.375,2.3682,3259.607178835653,86.5139,0.2874
15795,3274.5,2.3564,3242.908531466746,86.4175,0.2906
15796,3274.625,2.3387,3252.025580894136,85.8089,0.3003
15797,3274.75,2.3116,3204.252151937059,85.4049,0.306
15798,3274.875,2.2975,3234.4855020534233,85.0015,0.3138
15799,3275.0,2.2875,3236.8671639884487,84.6058,0.319
15800,3275.125,2.282,3239.9138299423125,84.8301,0.3216
15801,3275.25,2.2824,3244.5946433947593,85.9627,0.3209
15802,3275.375,2.2849,3250.284633166453,86.8905,0.3086
15803,3275.5,2.2936,3257.181651377306,86.9475,0.3049
15804,3275.625,2.299,3265.4141918906953,86.9634,0.3004
15805,3275.75,2.2989,3274.127728868599,87.4914,0.2988
15806,3275.875,2.2975,3254.984461934409,88.8903,0.2983
15807,3276.0,2.3026,3300.640961084274,91.0431,0.2936
15808,3276.125,2.3108,3308.7852155486853,91.1953,0.3018
15809,3276.25,2.3162,3329.20459535091,91.3473,0.3107
15810,3276.375,2.3175,3303.9646238550736,89.5468,0.3198
15811,3276.5,2.3173,3307.305841229457,88.1239,0.3253
15812,3276.625,2.3188,3310.6545305709838,88.855,0.3263
15813,3276.75,2.3229,3306.8709649438156,90.0094,0.328
15814,3276.875,2.3166,3300.432276603879,91.3367,0.328
15815,3277.0,2.3125,3321.299796341558,91.0665,0.3193
15816,3277.125,2.3128,3259.3283302786044,91.1837,0.31
15817,3277.25,2.3184,3287.178555366478,91.6795,0.3018
15818,3277.375,2.3284,3285.8090371163535,91.4063,0.294
15819,3277.5,2.3325,3284.262961858886,91.133,0.3039
15820,3277.625,2.3243,3285.550017539639,91.2616,0.3261
15821,3277.75,2.3155,3287.2913952467634,91.1145,0.3444
15822,3277.875,2.3073,3288.6817394350087,91.271,0.3541
15823,3278.0,2.3016,3289.7373718402678,92.0053,0.3536
15824,3278.125,2.304,3290.7917841601657,92.7325,0.343
15825,3278.25,2.3081,3264.8864038047495,89.6183,0.3339
15826,3278.375,2.3064,3284.3305751996404,89.0664,0.3255
15827,3278.5,2.305,3285.452816887745,89.4661,0.3141
15828,3278.625,2.3064,3270.2845083146553,90.0728,0.3082
15829,3278.75,2.3116,3290.469519578896,90.924,0.3181
15830,3278.875,2.3239,3292.931747925125,93.3715,0.3346
15831,3279.0,2.322,3277.04936539423,93.2167,0.3412
15832,3279.125,2.3159,3303.420470802445,93.5987,0.335
15833,3279.25,2.3198,3300.126520325118,93.7306,0.3205
15834,3279.375,2.3382,3299.331515410896,93.1999,0.3074
15835,3279.5,2.3628,3295.4929097393906,92.644,0.3089
15836,3279.625,2.3866,3290.1468856331435,91.4318,0.3073
15837,3279.75,2.3964,3283.5096054391406,90.6282,0.307
15838,3279.875,2.4049,3273.6978838653217,90.2067,0.3036
15839,3280.0,2.4113,3261.6409682057797,89.9806,0.3012
15840,3280.125,2.4097,3250.3422449596555,89.5376,0.3058
15841,3280.25,2.3949,3239.0283712687155,87.9566,0.3173
15842,3280.375,2.3686,3232.700333557826,87.375,0.3265
15843,3280.5,2.3433,3222.158328270702,87.1999,0.3255
15844,3280.625,2.3232,3219.4340522445736,92.53513666666666,0.3136
15845,3280.75,2.3108,3196.8954034140074,92.96860333333332,0.3009
15846,3280.875,2.3071,3220.261445504365,93.39815333333333,0.3035
15847,3281.0,2.3079,3211.172520454368,93.78946666666664,0.2962
15848,3281.125,2.3108,3192.532323342355,94.08368333333331,0.3081
15849,3281.25,2.3156,3189.9829511737944,94.31906666666666,0.3068
15850,3281.375,2.3213,3187.3309867550083,94.56429666666666,0.3036
15851,3281.5,2.3269,3216.0410422210184,94.84481,0.3092
15852,3281.625,2.3318,3220.1805528306004,95.15726666666666,0.2993
15853,3281.75,2.328,3216.2925053420213,95.45934333333334,0.2942
15854,3281.875,2.3227,3241.332519455439,95.75712333333333,0.2869
15855,3282.0,2.3178,3253.584226521195,96.07575666666665,0.2769
15856,3282.125,2.3165,3228.479709681414,96.41855,0.2695
15857,3282.25,2.3219,3233.4917453142757,91.9988,0.2719
15858,3282.375,2.3317,3238.557052883,95.33,0.2817
15859,3282.5,2.3387,3243.4435454677946,96.4591,0.2958
15860,3282.625,2.3399,3246.9188625163365,96.4641,0.3005
15861,3282.75,2.3386,3248.0499199297333,96.365,0.2957
15862,3282.875,2.3383,3247.2771134966883,96.3289,0.2871
15863,3283.0,2.34,3245.0153384588225,94.9665,0.283
15864,3283.125,2.3522,3242.833939523211,94.8834,0.2773
15865,3283.25,2.3556,3247.7495908346973,94.7998,0.2779
15866,3283.375,2.3524,3222.951474912685,95.2817,0.2813
15867,3283.5,2.3428,3246.066685242121,96.1548,0.2912
15868,3283.625,2.3272,3250.647106970614,96.8274,0.3102
15869,3283.75,2.3116,3256.250012445178,96.8672,0.3118
15870,3283.875,2.3034,3262.9834403285413,96.907,0.3076
15871,3284.0,2.2988,3271.8225088813642,96.9467,0.3038
15872,3284.125,2.3019,3281.6458557786405,98.2418,0.3005
15873,3284.25,2.3131,3291.3712989781156,100.3064,0.3
15874,3284.375,2.3263,3300.9598841901793,100.1614,0.3077
15875,3284.5,2.3411,3311.0842879252214,100.0164,0.2954
15876,3284.625,2.3473,3319.3460045730685,98.9455,0.2923
15877,3284.75,2.3509,3325.560895886488,97.0978,0.2891
15878,3284.875,2.3515,3331.204297025104,102.24059333333335,0.2905
15879,3285.0,2.3473,3336.366764063291,102.94396333333334,0.301
15880,3285.125,2.3424,3338.5287443485463,103.66430333333334,0.301
15881,3285.25,2.3321,3338.4054312556327,104.41770333333334,0.2927
15882,3285.375,2.3255,3336.711850017864,105.21785333333335,0.2952
15883,3285.5,2.323,3333.6462395647436,106.04800333333334,0.2962
15884,3285.625,2.3234,3329.2394036836868,106.72780000000002,0.2931
15885,3285.75,2.3252,3325.1032986967416,107.35745666666666,0.2966
15886,3285.875,2.3302,3321.233176582098,107.93486000000001,0.2884
15887,3286.0,2.3358,3313.4461144485954,108.46218666666665,0.2856
15888,3286.125,2.34,3305.392398893475,109.02441999999999,0.2845
15889,3286.25,2.3423,3297.198591426754,109.68924333333332,0.2872
15890,3286.375,2.3419,3289.8351085023105,110.29320333333334,0.2951
15891,3286.5,2.3353,3283.5091685008865,105.9892,0.3017
15892,3286.625,2.3319,3283.799813185404,110.1737,0.295
15893,3286.75,2.3304,3260.2173264292596,111.79853333333332,0.29
15894,3286.875,2.33,3257.2837374124897,112.43663,0.2884
15895,3287.0,2.3317,3276.059613966676,113.27809333333333,0.2888
15896,3287.125,2.3379,3270.3128236199686,114.12362999999999,0.2886
15897,3287.25,2.3502,3267.9414886959253,114.94494,0.2968
15898,3287.375,2.3639,3265.304849194095,115.74672666666667,0.2973
15899,3287.5,2.3721,3263.362394562912,116.39564999999999,0.2991
15900,3287.625,2.3733,3260.409521704308,116.87904666666668,0.2979
15901,3287.75,2.3687,3256.2160905579735,117.32721333333333,0.2915
15902,3287.875,2.3621,3251.011806301004,117.78638333333333,0.2891
15903,3288.0,2.3588,3245.919703333512,118.26027999999998,0.285
15904,3288.125,2.3649,3240.6450038815215,113.7707,0.2815
15905,3288.25,2.3779,3235.0782682900895,115.0345,0.2782
15906,3288.375,2.3887,3229.793392702706,116.2248,0.2778
15907,3288.5,2.3865,3225.4093659656073,117.1082,0.2834
15908,3288.625,2.3717,3219.1347009019787,116.6911,0.2875
15909,3288.75,2.3497,3211.3298621191902,117.0466,0.2866
15910,3288.875,2.3387,3204.6210336667205,118.3139,0.2914
15911,3289.0,2.3364,3199.489755613827,119.9917,0.3004
15912,3289.125,2.3383,3209.995639966552,115.27477,0.3104
15913,3289.25,2.344,3193.5576128615203,116.1288,0.321
15914,3289.375,2.3399,3193.559357427016,116.3218,0.3169
15915,3289.5,2.3345,3193.8404297205157,116.7559,0.3115
15916,3289.625,2.3301,3180.5693093844534,117.2553,0.3067
15917,3289.75,2.3291,3194.0980445580867,113.03658333333334,0.3026
15918,3289.875,2.3326,3196.892050353147,112.65399333333333,0.2994
15919,3290.0,2.3376,3210.8477775834785,112.25333666666667,0.3027
15920,3290.125,2.3417,3192.559074912016,111.92354333333334,0.3037
15921,3290.25,2.3481,3178.7582193530893,111.62677333333333,0.2983
15922,3290.375,2.3539,3177.3366663400375,111.39958999999999,0.2878
15923,3290.5,2.3564,3192.6593972912674,111.24198333333332,0.2807
15924,3290.625,2.3539,3193.548157375498,111.10602333333331,0.2915
15925,3290.75,2.3498,3192.728087764013,110.95346999999997,0.3063
15926,3290.875,2.349,3189.492157825512,110.7565933333333,0.3177
15927,3291.0,2.3514,3183.7979836114887,110.51162999999998,0.3191
15928,3291.125,2.354,3176.8625088951812,110.28874333333331,0.3111
15929,3291.25,2.3536,3169.230606937074,115.0239,0.2982
15930,3291.375,2.3512,3160.7102971493323,114.3452,0.2867
15931,3291.5,2.3472,3153.709902801102,110.04358333333333,0.2775
15932,3291.625,2.3413,3148.7257011897987,109.88532666666667,0.2827
15933,3291.75,2.3355,3143.445634677771,114.4761,0.2913
15934,3291.875,2.3309,3138.604130928566,109.9918,0.2962
15935,3292.0,2.3271,3132.1893061540204,107.544,0.297
15936,3292.125,2.3296,3125.5024926154965,106.1324,0.2979
15937,3292.25,2.3341,3117.483955482047,111.02552666666665,0.298
15938,3292.375,2.3365,3138.5697060062216,111.44117,0.296
15939,3292.5,2.335,3126.4713032400214,111.82942333333334,0.295
15940,3292.625,2.3301,3096.3468236871404,112.31716,0.2973
15941,3292.75,2.3252,3089.6664272431635,112.85557333333333,0.2989
15942,3292.875,2.3313,3082.859013902527,113.40126,0.3077
15943,3293.0,2.3434,3075.3546327779454,113.75693333333332,0.3039
15944,3293.125,2.3547,3068.025566455512,113.99387333333333,0.3004
15945,3293.25,2.359,3060.367239739018,114.04129333333331,0.3013
15946,3293.375,2.3518,3053.0105051132077,113.82348666666665,0.3016
15947,3293.5,2.3378,3045.5086664671067,113.61469333333334,0.2975
15948,3293.625,2.3218,3037.8982650878015,111.3872,0.2977
15949,3293.75,2.3096,3030.0215307853523,112.7245,0.2921
15950,3293.875,2.3015,3022.3339854528954,113.4723,0.2884
15951,3294.0,2.297,3015.8523761096308,115.3693,0.2877
15952,3294.125,2.297,3008.4350917080274,111.85302000000001,0.272
15953,3294.25,2.2962,2999.905887605235,111.31370333333334,0.2687
15954,3294.375,2.296,2993.7249032031737,110.76696000000001,0.2655
15955,3294.5,2.2965,2990.175009507453,114.6123,0.2681
15956,3294.625,2.2978,2988.732549169414,112.9868,0.2788
15957,3294.75,2.2999,2989.7735027538893,113.6074,0.2933
15958,3294.875,2.2991,3016.952541396489,108.88984,0.2876
15959,3295.0,2.2983,2988.704110448698,108.44131,0.276
15960,3295.125,2.2958,2996.1862599831384,111.9249,0.2653
15961,3295.25,2.2914,2996.640270068385,110.6335,0.26
15962,3295.375,2.2848,2995.5751713213813,107.19472999999998,0.2625
15963,3295.5,2.2758,2994.6846816017146,106.84727666666666,0.2729
15964,3295.625,2.2676,3002.346321830249,106.44064666666665,0.268
15965,3295.75,2.2608,2988.173772892911,105.76965333333332,0.2696
15966,3295.875,2.2561,2970.328870368728,105.13200666666665,0.27
15967,3296.0,2.254,2998.36252468284,104.57292000000001,0.269
15968,3296.125,2.2544,3000.520482324435,104.14905666666665,0.269
15969,3296.25,2.2568,3003.6772908138523,103.70772666666666,0.269
15970,3296.375,2.26,3006.574653580243,103.10627,0.2652
15971,3296.5,2.265,3008.783719608544,102.46296,0.2675
15972,3296.625,2.2664,3010.831947562385,101.96273333333333,0.2676
15973,3296.75,2.2623,3011.8666984074134,101.60030666666667,0.2677
15974,3296.875,2.2557,3011.9778160514015,105.535,0.2805
15975,3297.0,2.25,3011.9237094017776,100.98,0.2699
15976,3297.125,2.2476,3011.61368492052,101.109,0.2714
15977,3297.25,2.2455,3012.0106455816326,101.5339,0.2625
15978,3297.375,2.2414,3013.0590589292087,101.5252,0.2546
15979,3297.5,2.2356,3013.898627443087,101.5952,0.2597
15980,3297.625,2.2331,3003.523819284042,102.0501,0.2581
15981,3297.75,2.2346,3010.8063690215868,101.2024,0.2728
15982,3297.875,2.2362,2996.572817309337,101.0992,0.2728
15983,3298.0,2.2387,3009.2647329878714,101.2923,0.2675
15984,3298.125,2.2412,3005.6972039872367,100.7302,0.2628
15985,3298.25,2.2416,3001.257895845818,98.6948,0.259
15986,3298.375,2.2358,2998.0167192650756,101.0122,0.259
15987,3298.5,2.2315,3000.6891982243596,101.2011,0.2702
15988,3298.625,2.2383,3010.809444000484,100.7729,0.2745
15989,3298.75,2.262,3020.9701183010616,100.1973,0.2726
15990,3298.875,2.2993,3055.0234990242566,99.7396,0.2674
15991,3299.0,2.3313,3052.06840718678,99.7639,0.2543
15992,3299.125,2.3392,3042.8180808083835,102.0978,0.25
15993,3299.25,2.3273,3061.3044290486455,102.3204,0.2589
15994,3299.375,2.3097,3084.3346562640077,102.0257,0.2725
15995,3299.5,2.2959,3095.4408189119863,101.8547,0.2833
15996,3299.625,2.2897,3105.704014220347,101.9263,0.2868
15997,3299.75,2.2864,3113.8501391888985,104.4723,0.2852
15998,3299.875,2.286,3121.412974943875,103.1348,0.272
15999,3300.0,2.2844,3128.2046875806423,101.7013,0.2675
16000,3300.125,2.2815,3135.498451875204,106.38398333333333,0.2651
16001,3300.25,2.277,3144.3907013316934,106.90433333333334,0.2607
16002,3300.375,2.268,3159.1182302019483,107.41790333333334,0.264
16003,3300.5,2.2598,3177.9754440767697,108.01527333333335,0.2533
16004,3300.625,2.2503,3197.800035280482,108.63041333333335,0.2542
16005,3300.75,2.2427,3216.962389283251,109.16573666666667,0.2611
16006,3300.875,2.2367,3235.2581168627366,109.67622333333334,0.269
16007,3301.0,2.2307,3252.7262066969024,110.20595666666667,0.2739
16008,3301.125,2.2282,3269.3820284053004,110.75550333333335,0.2731
16009,3301.25,2.2258,3285.0686075105173,111.27251333333335,0.273
16010,3301.375,2.2256,3300.703284199584,111.82240333333334,0.2764
16011,3301.5,2.2248,3314.9942097655653,112.43128666666667,0.2805
16012,3301.625,2.2236,3328.7994476450035,112.97133666666669,0.2822
16013,3301.75,2.2263,3344.5595869775566,113.46211666666667,0.2789
